n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,variant,kind
1294,136820.69356650565,192081.38140200794,-55260.68783550228,0.7123058599841754,0.4868624420401855,217.1757040738185,-289.7155073936771,-42.70532290224288,-55457.80744469471,-0.5574787030765925,-2.512253781442784,-6.701507217076141,-0.9964455931765963,2.643740340030912,5.694165378670788,5.520092735703246,13,8,20.53968253968254,0.0,-2.512253781442784,MES,strategy__cost=fixed_tick__slip=1x__conf=0.50,strategy
907,107296.1833896077,150993.73394727806,-43697.55055767035,0.7106002387295881,0.48511576626240355,243.8549622491084,-324.02088829888,-48.17811527857812,-43852.30454817308,-0.4408166675326064,-2.564351546445783,-7.698990834544316,-0.9964710180662746,2.679162072767365,5.85226019845645,5.596471885336274,8,7,14.396825396825397,0.0,-2.564351546445783,MES,strategy__cost=fixed_tick__slip=1x__conf=0.65,strategy
1301,74722.57824915013,154407.7590235046,-79685.18077435443,0.48393020351895366,0.4657955418908532,123.30458456955468,-222.1694374438915,-61.24917815092578,-79333.63339579076,-0.7981175529906045,-4.77381027047458,-7.458088558492614,-1.0044312527173667,2.5857033051498846,5.896810146041506,5.305342044581091,10,9,20.650793650793652,0.0,-4.77381027047458,MES,strategy__cost=fixed_tick__slip=2x__conf=0.50,strategy
904,64447.176820809385,132901.97819317412,-68454.80137236472,0.48492263017435966,0.461283185840708,154.54958470218077,-272.8993392056963,-75.7243378012884,-68191.7842325154,-0.6860275728730979,-5.0182220244360085,-9.287077969120817,-1.003857020941885,2.6349557522123894,6.07853982300885,5.38799778761062,8,9,14.34920634920635,0.0,-5.0182220244360085,MES,strategy__cost=fixed_tick__slip=2x__conf=0.65,strategy
1298,41968.393094914296,132143.72881931983,-90175.33572440554,0.31759655543168225,0.44144838212634824,73.243268926552,-182.2672121645791,-69.47252367057438,-89519.13930933693,-0.901300516213145,-6.368389364356825,-7.467647058867724,-1.0073302359711156,2.5446841294298923,6.052003081664099,5.0649075500770415,10,9,20.603174603174605,0.0,-6.368389364356825,MES,strategy__cost=fixed_tick__slip=3x__conf=0.50,strategy
908,37511.977014101605,119974.3700246514,-82462.39301054981,0.3126665887588652,0.43171806167400884,95.69381891352451,-232.5084690400221,-90.81761344774209,-81889.88333445911,-0.8244873073113209,-7.07986370835692,-9.526743342098353,-1.0069912137223647,2.567180616740088,6.226046255506608,5.137114537444934,7,11,14.412698412698413,0.0,-7.07986370835692,MES,strategy__cost=fixed_tick__slip=3x__conf=0.65,strategy
1294,3543.2927911488923,123583.24604531458,-120039.95325416568,0.028671303793474275,0.14992272024729522,18.264395830664395,-112.34840549574052,-92.76657902176638,-119012.90739606688,-1.2024790856038665,-8.815289565693226,-8.478120051609025,-1.00862970143802,2.643740340030912,5.694165378670788,5.520092735703246,5,59,20.53968253968254,0.0,-8.815289565693226,MES,strategy__cost=roll_spread__slip=1x__conf=0.50,strategy
907,3057.0793605298913,109826.27517825819,-106769.19581772831,0.027835591761333697,0.1422271223814774,23.698289616510785,-141.1648781211545,-117.71686418713155,-105742.14995962956,-1.0683944000299619,-9.415612147641856,-9.13008459985757,-1.0097127385672682,2.679162072767365,5.85226019845645,5.596471885336274,4,45,14.396825396825397,0.0,-9.415612147641856,MES,strategy__cost=roll_spread__slip=1x__conf=0.65,strategy
1294,189794.84725334408,219477.74151730628,-29682.89426396224,0.8647566989765947,0.4884080370942813,300.30830261605075,-331.5373738932119,-22.938867282814716,-30672.658330499282,-0.307882655031449,-1.113176561021536,-4.248693096555534,-0.9677313894390147,2.643740340030912,5.694165378670788,5.520092735703246,13,8,20.53968253968254,0.0,-1.113176561021536,MES,strategy__cost=impact__slip=1x__conf=0.50,strategy
907,138100.5819984172,162391.30484538997,-24290.72284697275,0.8504185746268894,0.48732083792723263,312.44475565252765,-349.2286125707311,-26.781392334038312,-25611.85008597339,-0.257322451177628,-1.241470942447009,-4.742154598837409,-0.9484173445274002,2.679162072767365,5.85226019845645,5.596471885336274,8,7,14.396825396825397,0.0,-1.241470942447009,MES,strategy__cost=impact__slip=1x__conf=0.65,strategy
1535,200010.654761905,259478.9285714287,-59468.273809523744,0.7708165586433989,0.4794788273615635,271.7536070134579,-325.1615646258505,-38.74154645571579,-59313.39285714281,-0.5944321258749015,-1.9365881003102174,-5.2211917384460875,-1.002611230700526,3.8638436482084693,8.42442996742671,7.638925081433225,9,13,20.466666666666665,0.0,-1.9365881003102174,MES,baseline__buy_and_hold_intraday,baseline
