n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,baseline
30438,3386042.914843651,4022563.600634258,-636520.6857906065,0.841762430881082,0.4840659701688679,229.81151858583215,-256.4265698115801,-20.912040403134455,-637321.9476026852,-6.38226090057495,-1.1264904241218299,-1.985115124862183,-0.998742767583805,2.900683356330902,42.70957355936658,41.25717852684145,12,17,405.84,0.0,-1.1264904241218299,YM,ema_crossover_9_21
7775,785841.9875700616,941650.6089473431,-155808.6213772815,0.8345366955675231,0.48578778135048234,208.05983255760168,-235.82534659337418,-20.039694067817557,-156840.1578598069,-1.5523881287001426,-1.2043190922485736,-2.2025751251500005,-0.9934230078788402,2.4463022508038583,38.35305466237942,38.228167202572344,14,15,103.66666666666667,0.0,-1.2043190922485736,YM,donchian_channel_20
9119,908782.5066047051,1147383.2020876477,-238600.69548294268,0.7920479443582475,0.4700076762802939,212.03511586670675,-237.6026510846237,-26.165225954922985,-242215.42653313858,-2.425591216649413,-1.5460377918786596,-2.869582999969315,-0.9850763797255442,2.3773440070183134,40.10220418905582,36.55159556968966,13,13,121.58666666666667,0.0,-1.5460377918786596,YM,bollinger_mean_reversion_20
1530,193874.47619047627,249025.04761904743,-55150.57142857117,0.7785340392226762,0.46405228758169936,273.06264252179756,-304.4315985562927,-36.046125116713185,-57299.76190476166,-0.5625151492415011,-1.8513617416033015,-4.9553442542334425,-0.9624921569523679,5.9,77.0718954248366,70.44117647058823,6,10,20.675675675675677,0.0,-1.8513617416033015,MYM,buy_and_hold_intraday
30478,746746.551357582,891441.3370836347,-144694.78572605277,0.837684455828104,0.484021261237614,50.620021106126764,-56.76162604798693,-4.747515772887091,-145232.54082809362,-1.4458011567955316,-0.7725837033557943,-0.8818235804690169,-0.9962972822827814,2.908261696961743,42.980510532187154,41.452851236957805,12,16,406.37333333333333,0.0,-0.7725837033557943,MYM,prior_bar_momentum
30516,608154.6056174928,750187.2354486634,-142032.62983117043,0.8106704258354579,0.4786341591296369,41.637313817437544,-47.18158713513606,-4.654365900877258,-144925.7247966093,-1.4227004946156863,-0.9771731418856485,-1.1356844726452353,-0.9800373952278031,2.9046074190588542,43.14146677152969,41.29918731157426,18,13,406.88,0.0,-0.9771731418856485,MYM,prior_bar_mean_reversion
11679,426968.4167926459,525284.4860663442,-98316.06927369829,0.812832718495172,0.4899392071238976,74.61873764289513,-88.26827189822622,-8.418192420044377,-98886.21932270798,-0.9841025806136362,-1.0517793815079919,-1.2798418064604797,-0.9942342820575529,2.5187087935610926,38.23846219710592,37.9001626851614,11,14,155.72,0.0,-1.0517793815079919,MYM,atr_breakout
23570,589966.376723873,722565.81871494,-132599.44199106697,0.8164880782391688,0.4749681798896903,52.69909573236918,-58.43165281537603,-5.625771828216672,-134190.547855274,-1.332486462222198,-0.9211675533062433,-1.0737244733153524,-0.9881429363719191,2.77496817988969,41.63635977938057,39.75176071277047,11,12,314.26666666666665,0.0,-0.9211675533062433,MYM,vwap_mean_reversion
19732,531402.2783102235,648984.0418386777,-117581.76352845426,0.8188217953783179,0.4858098520170282,55.43524705927639,-64.0276284371229,-5.958937944884161,-117895.92813246924,-1.1757476654626149,-0.910211327502371,-1.0461647941399261,-0.9973352378746959,2.7822319075613215,42.45971011554835,40.941668355969995,11,12,263.0933333333333,0.0,-0.910211327502371,MYM,opening_range_breakout
1558,222330.1950756341,258083.98663378457,-35753.79155815043,0.8614645099663456,0.49550706033376124,287.99248066791984,-328.76940972456634,-22.948518330006692,-38213.976131031886,-0.37958685520237345,-1.1149174620479996,-3.309100437673011,-0.9356208167282637,3.4993581514762515,41.32734274711168,41.709884467265724,7,10,20.773333333333333,0.0,-1.1149174620479996,MYM,random_entry_matched_holding
30556,603412.837066085,743156.8877815832,-139744.05071549828,0.8119588837659141,0.4843893179735567,40.76838301912607,-47.23554870536981,-4.573375137959755,-140629.16683419785,-1.3939535606891302,-0.9555074123796495,-1.093765538304602,-0.9937060274292663,2.899299646550596,42.75939259065323,41.37678361042021,12,14,407.41333333333336,0.0,-0.9555074123796495,MYM,ema_crossover_9_21
7730,313421.9710434536,405544.3192757177,-92122.34823226408,0.7728427107626853,0.48421733505821474,83.73549854219974,-101.84437952680003,-11.917509473772844,-92545.10387089138,-0.9223495862174008,-1.4137102135089172,-1.814031174793628,-0.9954318962220077,2.477102199223803,38.979689521345406,38.36688227684347,14,13,103.06666666666666,0.0,-1.4137102135089172,MYM,donchian_channel_20
9079,357669.5490473397,459947.6304057634,-102278.08135842375,0.7776310288451872,0.4697653926643903,83.86155897944658,-95.6629846933784,-11.26534655341158,-102494.14936430863,-1.0236556816488382,-1.2517906816673134,-1.5300364902113488,-0.9978918991257064,2.404670117854389,40.34508205749532,36.91177442449609,11,13,121.05333333333333,0.0,-1.2517906816673134,MYM,bollinger_mean_reversion_20
1527,304379.5238095282,354405.2380952345,-50025.714285706315,0.8588460075969205,0.47871643745907005,416.38785746857485,-445.2327111749177,-32.76078211244683,-52279.99999999244,-0.5186899992440095,-1.1089813646808893,-2.897819615416423,-0.9568805333916134,5.185985592665357,7.288539620170175,6.859986902423145,8,9,20.635135135135137,0.0,-1.1089813646808893,RTY,buy_and_hold_intraday
29338,2936627.16152276,3583348.151702772,-646720.9901800121,0.8195204700183273,0.48091212761606106,208.13857548534693,-235.29766574973877,-22.043799515304794,-649408.1167912679,-6.3241434269535794,-1.332701782374382,-2.4817153154317477,-0.9958621912141583,3.0583884382030133,3.8195071238665665,3.6309223532620707,13,16,391.17333333333335,0.0,-1.332701782374382,RTY,prior_bar_momentum
29312,2935043.212486931,3561350.135941433,-626306.9234545019,0.8241377849558341,0.47993995633187775,208.63258547675088,-233.6230737300861,-21.366911962830986,-628184.0678804072,-6.301212979387867,-1.2959582163379473,-2.4240429908182586,-0.9970117923680569,3.062807041484716,3.801893422488994,3.6502456331878603,13,14,390.82666666666665,0.0,-1.2959582163379473,RTY,prior_bar_mean_reversion
