symbol,date_prev,close_prev,date_next,open_next,gap,gap_atr_mult
MGC.v.0,2025-01-16,2750.8,2025-01-17,2739.0,11.800000000000182,6.129354464462925
MGC.v.0,2025-01-22,2770.8,2025-01-23,2746.5,24.300000000000182,13.074282713558306
MGC.v.0,2025-01-23,2765.1,2025-01-24,2789.8,24.700000000000273,12.489657354386939
MGC.v.0,2025-01-24,2779.0,2025-01-27,2762.0,17.0,8.870899489915848
MGC.v.0,2025-01-29,2770.0,2025-01-30,2800.0,30.0,15.700455870198946
MGC.v.0,2025-01-31,2815.0,2025-02-03,2851.2,36.19999999999982,50.01216100059242
MGC.v.0,2025-02-04,2875.3,2025-02-05,2889.1,13.799999999999727,6.978113674976074
MGC.v.0,2025-02-07,2887.6,2025-02-10,2929.7,42.09999999999991,13.172585872387224
MGC.v.0,2025-02-10,2934.6,2025-02-11,2915.9,18.699999999999818,7.773464652698101
MGC.v.0,2025-02-11,2932.8,2025-02-12,2900.5,32.30000000000018,14.867022809347274
MGC.v.0,2025-02-17,2911.3,2025-02-18,2932.8,21.5,21.589057730185413
MGC.v.0,2025-02-19,2935.5,2025-02-20,2961.2,25.699999999999818,8.753685884399712
MGC.v.0,2025-02-21,2953.3,2025-02-24,2965.5,12.199999999999818,5.359644934988961
MGC.v.0,2025-02-24,2962.9,2025-02-25,2942.7,20.200000000000273,9.672548265390565
MGC.v.0,2025-02-26,2930.1,2025-02-27,2901.5,28.59999999999991,13.365200872866582
MGC.v.0,2025-02-27,2895.4,2025-02-28,2869.5,25.90000000000009,10.025495562485045
MGC.v.0,2025-02-28,2849.0,2025-03-03,2881.0,32.0,9.616606113991022
MGC.v.0,2025-03-03,2901.3,2025-03-04,2932.5,31.199999999999818,13.733724757590526
MGC.v.0,2025-03-10,2900.9,2025-03-11,2918.1,17.199999999999818,5.118268706212364
MGC.v.0,2025-03-17,3006.2,2025-03-18,3037.0,30.800000000000182,18.00091520575156
MGC.v.0,2025-03-21,3021.2,2025-03-24,3031.8,10.600000000000364,5.016375574782926
MGC.v.0,2025-03-26,3022.4,2025-03-27,3059.3,36.90000000000009,22.49334274923173
MGC.v.0,2025-03-27,3061.0,2025-03-28,3081.8,20.800000000000182,8.84080307959094
MGC.v.0,2025-03-28,3087.1,2025-03-31,3158.6,71.5,27.16409322296013
MGC.v.0,2025-03-31,3150.4,2025-04-01,3164.2,13.799999999999727,5.682287548104994
MGC.v.0,2025-04-02,3166.4,2025-04-03,3099.2,67.20000000000027,22.48400147577053
MGC.v.0,2025-04-07,2973.4,2025-04-08,3024.6,51.19999999999982,6.710364700984599
MGC.v.0,2025-04-08,2990.7,2025-04-09,3070.9,80.20000000000027,16.057591496110476
MGC.v.0,2025-04-09,3077.3,2025-04-10,3143.0,65.69999999999982,7.363717652584624
MGC.v.0,2025-04-10,3176.8,2025-04-11,3243.6,66.79999999999973,12.629345996254768
MGC.v.0,2025-04-15,3240.6,2025-04-16,3323.1,82.5,40.31931535809901
MGC.v.0,2025-04-17,3328.2,2025-04-21,3410.8,82.60000000000036,20.036421870024615
MGC.v.0,2025-04-21,3425.0,2025-04-22,3466.4,41.40000000000009,9.965873492772374
MGC.v.0,2025-04-22,3419.7,2025-04-23,3341.4,78.29999999999973,8.440778193171383
MGC.v.0,2025-04-23,3294.2,2025-04-24,3349.4,55.20000000000027,8.294500535900024
MGC.v.0,2025-04-24,3349.2,2025-04-25,3308.8,40.399999999999636,10.07708449249013
MGC.v.0,2025-04-28,3347.0,2025-04-29,3321.1,25.90000000000009,6.642522546572391
