symbol,entry_idx,entry_time,session_date,direction,contracts,entry_price,atr_at_entry,anchor,has_structural_override,stop_price,target_price,tp1_price,original_max_bars_hold,original_exit_idx,original_exit_reason,original_net_pnl,stop_w1,cf_w1_exit_idx,cf_w1_exit_reason,cf_w1_exit_price,cf_w1_pnl_gross,stop_w2,cf_w2_exit_idx,cf_w2_exit_reason,cf_w2_exit_price,cf_w2_pnl_gross,cf_w2_max_bars_hold,proj_close_low,proj_close_mid,proj_close_high,proj_completion_median,durability_window,durability_visited_zone,durability_reached_tp2,durability_tp2_first_idx,regime_label,vpin_gate,reason_codes,session_phase,entry_hour_et,entry_minute_et,family
M2K,99615,2025-01-13 15:00:00-05:00,2025-01-13,1,22,2197.6,3.5371025217663847,2196.0,False,2194.231448739117,2210.071282304821,2202.4328131744246,8,99615,stop,-403.54063869713355,2192.4628974782336,99623,time_stop,2200.8,352.00000000003,2188.925794956467,99626,session_end,2207.0,1034.00000000001,16,2198.141269765667,2202.4328131744246,2210.071282304821,5.108563051561719,24,True,True,99627,noise_mean_reverting,allow,,mid,15,0,russell
M2K,99616,2025-01-13 15:05:00-05:00,2025-01-13,-1,21,2195.8,3.63833085302672,2197.5,False,2199.3191654265133,2185.000225406289,2192.8795165957804,8,99616,stop,-401.0123697838717,2201.1383308530267,99622,stop,2201.1383308530267,-560.5247395677816,2204.7766617060533,99625,stop,2204.7766617060533,-942.5494791355823,15,2185.000225406289,2192.8795165957804,2196.7683941510245,4.9950685557853145,24,True,False,-1,noise_mean_reverting,allow,,close,15,5,russell
M2K,99619,2025-01-13 15:20:00-05:00,2025-01-13,1,15,2200.0,3.508725982173715,2196.8,False,2195.045637008913,2208.911492508801,2203.183251001721,10,99626,tp2_after_tp1,416.7322778768903,2193.2912740178263,99626,tp2,2208.911492508801,668.3619381600806,2189.782548035653,99626,tp2,2208.911492508801,668.3619381600806,20,2197.914071865948,2203.183251001721,2208.911492508801,6.452384056969762,30,True,True,99626,noise_mean_reverting,allow,,close,15,20,russell
M2K,99837,2025-01-16 14:00:00-05:00,2025-01-16,-1,17,2271.7000000000003,3.2112204253161036,2274.5,False,2276.105610212658,2262.2037528879205,2270.111761533926,8,99838,stop,-399.97686807590935,2277.7112204253162,99842,stop,2277.7112204253162,-510.95373615185736,2280.922440850632,99850,stop,2280.922440850632,-783.9074723036993,16,2262.2037528879205,2270.111761533926,2277.5932156871954,5.059653937592547,24,True,False,-1,noise_mean_reverting,allow,,mid,14,0,russell
M2K,99839,2025-01-16 14:10:00-05:00,2025-01-16,1,26,2275.4,3.0391169468007107,2274.7,False,2273.1804415265997,2286.942642472673,2279.780924142504,8,99847,time_stop,273.00000000002365,2271.660883053199,99847,time_stop,2277.8,312.0000000000118,2268.6217661063984,99854,time_stop,2277.2,233.99999999996453,15,2275.395138181736,2279.780924142504,2286.942642472673,4.92878663641482,24,True,True,99861,noise_mean_reverting,allow,,mid,14,10,russell
M2K,99916,2025-01-17 14:05:00-05:00,2025-01-17,-1,26,2287.3,2.2575202091407425,2287.8,True,2288.9287601045708,2275.605116992558,2283.831709098813,9,99918,stop,-250.73881359416282,2290.057520209141,99919,stop,2290.057520209141,-358.47762718829017,2292.3150404182816,99933,time_stop,2286.4,117.00000000001182,17,2275.605116992558,2283.831709098813,2288.818735099902,5.521347989672396,27,True,False,-1,noise_mean_reverting,allow,override_failed_auction_+1,mid,14,5,russell
M2K,99919,2025-01-17 14:20:00-05:00,2025-01-17,-1,26,2287.3,2.307410767141411,2288.7,True,2289.8537053835707,2275.605116992558,2283.962348739144,8,99919,stop,-370.9816998641609,2291.007410767141,99927,time_stop,2280.5,884.0000000000236,2293.3148215342826,99935,time_stop,2288.1,-103.99999999996453,16,2275.605116992558,2283.962348739144,2288.9469739812057,5.24011500985578,24,True,False,-1,noise_mean_reverting,allow,override_failed_auction_+1,mid,14,20,russell
M2K,99923,2025-01-17 14:40:00-05:00,2025-01-17,-1,26,2287.0,2.2990897752717627,2288.4,True,2289.549544887636,2275.605116992558,2284.38419751656,6,99929,time_stop_after_tp1,462.52716142359895,2290.6990897752717,99929,time_stop,2281.9,662.9999999999882,2292.9981795505437,99935,time_stop,2288.1,-142.99999999998818,12,2275.605116992558,2284.38419751656,2289.3833170903945,3.8831952335858575,18,True,False,-1,noise_mean_reverting,allow,override_failed_auction_+1,mid,14,40,russell
M2K,100027,2025-01-21 13:20:00-05:00,2025-01-21,1,26,2328.4,2.4872922015352925,2327.2,False,2325.956353899232,2337.3615720886546,2330.513388375797,8,100031,stop,-356.6739930998401,2324.7127077984646,100035,time_stop,2326.4,-260.0,2322.2254155969295,100043,time_stop,2325.5,-377.0000000000118,16,2323.8463768565944,2330.513388375797,2337.3615720886546,5.322775796793179,24,True,False,-1,noise_mean_reverting,allow,,mid,13,20,russell
M2K,100493,2025-01-29 13:10:00-05:00,2025-01-29,1,15,2297.5,3.384965166389616,2294.4323702544007,True,2292.739887671206,2308.884823816533,2301.0145137522063,6,100499,time_stop,-67.49999999998636,2291.047405088011,100499,time_stop,2296.9,-44.99999999999318,2287.6624399216216,100503,stop,2287.6624399216216,-737.817005878378,12,2294.1090836526214,2301.0145137522063,2308.884823816533,3.989709684243028,18,True,False,-1,noise_mean_reverting,allow,override_failed_auction_-1,mid,13,10,russell
M2K,100592,2025-01-30 14:55:00-05:00,2025-01-30,-1,25,2327.7000000000003,1.6553750267956615,2327.5,True,2328.327687513398,2317.721046648574,2324.2289713363907,10,100592,stop,-115.96093917469261,2329.155375026796,100592,stop,2329.155375026796,-181.92187834944207,2330.810750053591,100594,stop,2330.810750053591,-388.8437566988614,19,2317.721046648574,2324.2289713363907,2340.923916920603,6.201288510965633,30,True,True,100600,noise_mean_reverting,allow,override_failed_auction_+1,mid,14,55,russell
M2K,100640,2025-01-31 12:25:00-05:00,2025-01-31,1,11,2327.7999999999997,3.7040860557411897,2323.2,False,2321.3479569721294,2337.597032228291,2328.6997629722728,6,100646,time_stop_after_tp1,100.49288916820524,2319.4959139442585,100646,time_stop,2331.4,198.00000000002,2315.791827888517,100651,stop,2315.791827888517,-660.449466131538,11,2323.600478321083,2328.6997629722728,2337.597032228291,3.595737660053904,18,True,False,-1,noise_mean_reverting,allow,,mid,12,25,russell
M2K,102010,2025-02-26 12:35:00-05:00,2025-02-26,-1,11,2193.7000000000003,4.228801595746335,2197.9,False,2200.0144007978733,2183.7118497557863,2191.8545345622874,5,102014,tp2_after_tp1,288.5677192367407,2202.1288015957466,102014,tp2,2183.7118497557863,549.3482634317706,2206.3576031914927,102014,tp2,2183.7118497557863,549.3482634317706,10,2183.7118497557863,2191.8545345622874,2196.490489882636,3.111182495344506,15,True,True,102014,noise_mean_reverting,allow,,mid,12,35,russell
M2K,102245,2025-03-03 12:40:00-05:00,2025-03-03,1,4,2163.5,4.025145637911557,2148.7144660190575,True,2146.7018932001015,2178.781767877937,2167.5322406981118,4,102249,time_stop,-245.99999999999818,2144.689320381146,102249,time_stop,2151.5,-240.0,2140.6641747432345,102252,stop,2140.6641747432345,-456.7165051353095,7,2159.7987867982515,2167.5322406981118,2178.781767877937,2.2295413759965736,12,True,False,-1,noise_mean_reverting,half_size,override_failed_auction_-1,mid,12,40,russell
M2K,102250,2025-03-03 13:05:00-05:00,2025-03-03,1,16,2151.4,4.266605034715602,2148.875441840278,True,2146.7421393229206,2160.6851538171063,2152.982446170168,5,102250,stop,-396.62885416635254,2144.6088368055625,102251,stop,2144.6088368055625,-543.2930555550047,2140.342231770847,102253,stop,2140.342231770847,-884.621458332258,9,2143.9230051790746,2152.982446170168,2160.6851538171063,2.757257866273353,15,True,False,-1,noise_mean_reverting,half_size,override_failed_auction_-1,mid,13,5,russell
M2K,102414,2025-03-05 13:45:00-05:00,2025-03-05,-1,11,2078.8,5.61236994156704,2082.8,False,2085.6061849707835,2070.096794569963,2078.636284044756,4,102414,stop,-390.84017339307684,2088.4123699415672,102415,stop,2088.4123699415672,-528.6803467861887,2094.0247398831343,102417,stop,2094.0247398831343,-837.3606935723774,7,2070.096794569963,2078.636284044756,2086.8350760890494,2.1491032125253144,12,True,False,-1,noise_mean_reverting,half_size,,mid,13,45,russell
